H_Stride Length,H_Toe Height,H_Stride Duration,H_Swingphase Duration,H_Stancephase Duration,F_Stride Length,F_Toe Height,F_Stride Duration,F_Swingphase Duration,F_Stancephase Duration
4.619,0.71205,1.22,0.14,1.08,3.472,0.9024,0.6,0.12,0.48
5.766,0.31725,0.84,0.18,0.66,4.216,0.3102,0.5,0.08,0.42
6.231,0.0987,1.4,0.4,1,3.069,0.81075,0.5,0.06,0.44
6.262,0.20445,0.94,0.14,0.8,3.503,0.62745,0.46,0.1,0.36
5.89,0.141,0.86,0.1,0.76,3.1,0.7614,0.54,0.06,0.48
5.952,0.55695,1.18,0.24,0.94,4.309,0.6486,0.44,0.12,0.32
6.293,0.34545,0.9,0.24,0.66,2.356,0.95175,0.36,0.06,0.3
7.409,0.21855,0.94,0.22,0.72,1.643,0.34545,0.42,0.16,0.26
3.41,0.1974,1.04,0.18,0.86,3.317,1.0857,0.62,0.08,0.54
6.727,0.19035,0.88,0.18,0.7,3.441,1.0293,0.58,0.1,0.48
5.332,0.20445,0.88,0.18,0.7,4.123,0.43005,0.6,0.12,0.48
6.541,0.8601,0.88,0.12,0.76,3.782,0.8178,0.66,0.08,0.58
7.347,0.3243,0.9,0.16,0.74,4.867,0.6204,0.58,0.12,0.46
6.572,0.3384,1,0.12,0.88,3.596,0.8037,0.56,0.12,0.44
5.27,0.6486,1.18,0.22,0.96,3.906,0.78255,0.6,0.1,0.5
7.161,0.57105,1.14,0.1,1.04,3.565,0.69795,0.54,0.08,0.46
5.115,0.16215,1.12,0.22,0.9,3.906,0.6204,0.52,0.08,0.44
6.634,0.26085,1.14,0.34,0.8,3.565,0.7614,0.58,0.06,0.52
5.921,0.6204,0.68,0.24,0.44,3.782,0.5358,0.46,0.16,0.3
7.254,0.74025,1.22,0.18,1.04,2.821,0.7896,0.56,0.14,0.42
6.1692,0.5605,1.06,0.2,0.86,4.216,0.5358,0.56,0.08,0.48
4.8015,0.5015,1.52,0.24,1.28,3.565,0.6063,0.5,0.1,0.4
6.9258,0.708,1.04,0.12,0.92,2.697,0.7755,0.64,0.2,0.44
5.9655,1.19475,2.26,0.2,2.06,3.007,0.9165,0.58,0.14,0.44
5.529,0.5015,0.92,0.26,0.66,3.875,0.7614,0.6,0.06,0.54
6.6639,0.361375,1.18,0.18,1,3.999,0.7614,0.52,0.1,0.42
6.5475,0.826,1.36,0.16,1.2,3.782,1.33245,0.56,0.08,0.48
5.4417,0.6785,1.88,0.54,1.34,3.596,0.5922,0.48,0.06,0.42
5.8491,0.641625,1.44,0.18,1.26,3.255,0.19035,0.48,0.06,0.42
7.1586,0.523625,0.82,0.36,0.46,3.999,0.68385,0.64,0.1,0.54
6.5184,0.626875,1.78,0.2,1.58,3.534,0.8319,0.52,0.08,0.44
6.2274,0.13275,1.24,0.16,1.08,2.852,0.3666,0.46,0.08,0.38
5.1216,0.6195,1.64,0.24,1.4,3.689,0.6486,0.58,0.1,0.48
4.4232,1.13575,1.98,0.34,1.64,4.03,0.82485,0.42,0.08,0.34
6.111,1.290625,2.94,0.78,2.16,2.945,0.86715,0.6,0.08,0.52
6.111,1.475,1.98,0.98,1,4.34,0.7614,0.54,0.1,0.44
6.0819,0.59,1.78,0.62,1.16,3.689,0.564,0.58,0.1,0.48
7.5369,1.357,1.48,0.24,1.24,4.154,0.88125,0.76,0.1,0.66
5.9946,0.66375,2.04,0.44,1.6,4.371,1.1421,0.54,0.08,0.46
6.8385,1.46025,1.96,0.26,1.7,4.371,0.8178,0.64,0.08,0.56
6.2274,0.479375,1.7,0.22,1.48,4.433,0.79665,0.6,0.1,0.5
7.595,0.41595,1.28,0.14,1.14,4.185,0.987,0.62,0.14,0.48
8.556,0.6204,0.92,0.14,0.78,4.464,0.6627,0.54,0.12,0.42
5.27,1.1139,0.48,0.14,0.34,2.48,0.5922,0.52,0.16,0.36
3.007,2.8482,1.16,0.14,1.02,2.232,0.57105,0.78,0.1,0.68
4.65,0.47235,1.08,0.12,0.96,4.96,0.9306,0.58,0.2,0.38
8.06,0.48645,0.94,0.12,0.82,4.061,1.03635,0.6,0.1,0.5
4.123,0.423,0.28,0.12,0.16,4.557,1.0434,0.62,0.12,0.5
6.789,1.5792,1.08,0.24,0.84,4.712,1.38885,0.66,0.1,0.56
6.386,0.41595,0.78,0.14,0.64,3.937,1.1844,0.54,0.12,0.42
9.455,1.16325,0.92,0.18,0.74,3.906,1.33245,0.46,0.12,0.34
2.821,0.41595,0.54,0.08,0.46,3.782,1.1703,0.76,0.1,0.66
7.223,1.12095,0.66,0.12,0.54,3.534,0.6768,0.48,0.14,0.34
10.757,0.4512,1.36,0.14,1.22,3.627,1.12095,0.58,0.12,0.46
8.494,1.29015,1.18,0.1,1.08,4.247,1.128,0.58,0.06,0.52
8.587,0.9447,0.84,0.2,0.64,2.511,1.26195,0.46,0.1,0.36
